,Global CO2 flux from cont. arcs (Mt C/yr),Global CO2 flux from cont. arcs (Mt C/yr),Global CO2 flux from cont. arcs (Mt C/yr)
Age (Ma),min,mean,max
139,14.789389,15.12321377,15.31479718
140,14.73918478,15.08734577,15.33632135
141,14.71201087,15.05147776,15.36803383
142,14.68483696,15.05287066,15.3997463
143,14.65766304,15.07179811,15.43145877
144,14.63048913,15.09072555,15.46596491
145,14.60331522,15.109653,15.52561404
146,14.58321006,15.12858044,15.58526316
147,14.56989645,15.14750789,15.64740506
148,14.55658284,15.1706993,15.71702532
149,14.54326923,15.20216783,15.78664557
150,14.52995562,15.23363636,15.86054054
151,14.51664201,15.2651049,15.97765766
152,14.5033284,15.29657343,16.09477477
153,14.49476744,15.32804196,16.1787747
154,14.4877907,15.36440945,16.25782609
155,14.48081395,15.40377953,16.34359684
156,14.47383721,15.44314961,16.44241107
157,14.46686047,15.48251969,16.5412253
158,14.45988372,15.52188976,16.63363636
159,14.45290698,15.56125984,16.72454545
160,14.44593023,15.59686441,16.80994723
161,14.4372093,15.62228814,16.88118734
162,14.41860465,15.64771186,16.95242744
163,14.4,15.67313559,17.02366755
164,14.38139535,15.69855932,17.08956897
165,14.3627907,15.72398305,17.14991379
166,14.34418605,15.74940678,17.21025862
167,14.3255814,15.77483051,17.27023055
168,14.29069767,15.79966825,17.2932853
169,14.24883721,15.76649289,17.31634006
170,14.20697674,15.73331754,17.33939481
171,14.16511628,15.70014218,17.33755043
172,14.11717391,15.66696682,17.31449568
173,14.0601087,15.63379147,17.29144092
174,14.00304348,15.60061611,17.26441489
175,13.94597826,15.52564669,17.18462766
176,13.86543478,15.43100946,17.10115079
177,13.77576087,15.33637224,17.00194444
178,13.68608696,15.24269231,16.9027381
179,13.59568627,15.14993213,16.7737766
180,13.48784314,15.05717195,16.63015957
181,13.38,14.96441176,16.45910828
182,13.27215686,14.86363636,16.28501767
183,13.15658754,14.68181818,16.12600707
184,13.04086053,14.5,15.96699647
185,12.92513353,14.33466667,15.79117021
186,12.81121662,14.18228571,15.58904255
187,12.69845697,14.02990476,15.40319149
188,12.58569733,13.88031646,15.23297872
189,12.47019608,13.73474684,15.04265957
190,12.34601307,13.58917722,14.84053191
191,12.22183007,13.44756329,14.64638298
192,12.10077151,13.31781646,14.45489362
193,11.99394659,13.18806962,14.26390909
194,11.88712166,13.055,14.073
195,11.78029674,12.88833333,13.86826923
196,11.67,12.72166667,13.662
197,11.55888889,12.575,13.49836364
198,11.44777778,12.44342105,13.33472727
199,11.35315217,12.31184211,13.15685259
200,11.26402174,12.18026316,12.97756972
201,11.1748913,12.06670185,12.81262948
202,11.08576087,11.95852243,12.66920319
203,11.00409769,11.85034301,12.52577689
204,10.96474898,11.74216359,12.38691489
205,10.92540027,11.70131579,12.24936599
206,10.88605156,11.66184211,12.18596542
207,10.84670285,11.62236842,12.12256484
208,10.80735414,11.58289474,12.05916427
209,10.76800543,11.54342105,12.01855932
210,10.72865672,11.50394737,11.99737288
211,10.73811146,11.46447368,11.97618644
212,10.76133127,11.44815451,11.955
213,10.78455108,11.46961373,11.93381356
214,10.8077709,11.49107296,11.94669683
215,10.83099071,11.51253219,11.96705882
216,10.85421053,11.53399142,11.98742081
217,10.88474255,11.55545064,12.00778281
218,10.93081301,11.57690987,12.03403509
219,10.97688347,11.60668919,12.06912281
220,11.02295393,11.64948198,12.10421053
221,11.07215777,11.69227477,12.14444444
222,11.12320186,11.73506757,12.18888889
223,11.17424594,11.77786036,12.23333333
224,11.22529002,11.8218239,12.27964912
225,11.27559165,11.86584906,12.32877193
226,11.32431555,11.90987421,12.37789474
227,11.37303944,11.95389937,12.42610759
228,11.42176334,11.99792453,12.47357595
229,11.47025031,12.04194969,12.5210443
230,11.4952816,12.0778084,12.56461095
231,11.52031289,12.10799213,12.60207493
232,11.54534418,12.13817585,12.6395389
233,11.57037547,12.16835958,12.67700288
234,11.59540676,12.19854331,12.69570732
235,11.62043805,12.22872703,12.71278049
236,11.64546934,12.25891076,12.72985366
237,11.66934959,12.28909449,12.74692683
238,11.63682927,12.25015798,12.7326455
239,11.60430894,12.20908373,12.71148148
240,11.57178862,12.16800948,12.69031746
241,11.53926829,12.12693523,12.66757925
242,11.50202899,12.08586098,12.60706052
243,11.42231884,12.04478673,12.54654179
244,11.3426087,11.96518987,12.48602305
245,11.24549091,11.86392405,12.40191083
246,11.11458182,11.76265823,12.3
247,10.98367273,11.65568421,12.19808917
248,10.8417757,11.54252632,12.09526012
249,10.69224299,11.42936842,11.99121387
250,10.54618182,11.31621053,11.88716763
251,10.40436364,11.15587302,11.78312139
252,10.26254545,10.97333333,11.64716561
253,10.12362319,10.79551451,11.51022293
254,9.985942029,10.64248021,11.37328025
255,9.84826087,10.48944591,11.23561837
256,9.665355191,10.33641161,11.09780919
257,9.482040816,10.19118734,10.96
258,9.31877551,10.05926121,10.81987261
259,9.155510204,9.927335092,10.67974522
260,8.974901961,9.795408971,10.53961783
261,8.79010929,9.647936508,10.39909814
262,8.637103825,9.489206349,10.25851459
263,8.477346939,9.329556962,10.11793103
264,8.301836735,9.155506329,9.977074468
265,8.126326531,8.981455696,9.833457447
266,7.971106557,8.807405063,9.689840426
267,7.819467213,8.66651715,9.546223404
268,7.668691589,8.529313984,9.410895954
269,7.519158879,8.392110818,9.292398844
270,7.378338762,8.25780543,9.173901734
271,7.261074919,8.146945701,9.055404624
272,7.143811075,8.036085973,8.924615385
273,7.032750583,7.925226244,8.79198939
274,6.946503497,7.814366516,8.659363395
275,6.86025641,7.724315789,8.531053678
276,6.774009324,7.643614035,8.441590457
277,6.687762238,7.562912281,8.352127237
278,6.625597826,7.482210526,8.262664016
279,6.565815217,7.401508772,8.173200795
280,6.506032609,7.320807018,8.083318182
281,6.447197697,7.245315789,7.987863636
282,6.391535509,7.169877193,7.892409091
283,6.335873321,7.094438596,7.796954545
284,6.280211132,7.019,7.7015
285,6.224548944,6.943561404,7.613180212
286,6.169349315,6.87121643,7.528374558
287,6.136815068,6.806445498,7.443568905
288,6.104280822,6.741674566,7.354444444
289,6.071746575,6.676903633,7.264497354
290,6.039212329,6.612132701,7.174550265
291,6.006678082,6.547361769,7.085384615
292,5.976093023,6.482590837,7.008461538
293,5.954387597,6.435862069,6.931538462
294,5.932682171,6.389885057,6.854615385
295,5.910976744,6.343908046,6.781118531
296,5.889271318,6.297931034,6.716010017
297,5.867565891,6.251954023,6.650901503
298,5.845860465,6.205977011,6.585792988
299,5.835472868,6.16,6.520684474
300,5.829271318,6.14002103,6.45557596
301,5.823069767,6.120042061,6.396904762
302,5.816868217,6.100063091,6.353253968
303,5.810666667,6.080084122,6.309603175
304,5.804465116,6.060105152,6.265952381
305,5.803472868,6.040126183,6.222301587
306,5.815875969,6.020147213,6.184278729
307,5.82827907,6.000168244,6.162273839
308,5.840682171,5.980189274,6.140268949
309,5.853085271,5.982346457,6.118264059
310,5.865488372,6.007543307,6.102693069
311,5.877891473,6.032740157,6.118534653
312,5.916725664,6.057937008,6.134376238
313,5.960973451,6.083133858,6.150217822
314,6.005221239,6.108330709,6.166059406
315,6.051428571,6.138494382,6.184827586
316,6.10012987,6.199168539,6.225057471
317,6.148831169,6.259842697,6.265287356
318,6.202300885,6.320516854,6.305517241
319,6.264247788,6.381191011,6.377918552
320,6.32619469,6.451053812,6.46841629
321,6.388141593,6.525044843,6.545294118
322,6.453089431,6.599035874,6.604117647
323,6.518130081,6.673026906,6.662941176
324,6.597682927,6.750157303,6.721764706
325,6.691178862,6.837797753,6.780982456
326,6.784045307,6.925438202,6.87922807
327,6.864951456,7.013078652,6.977473684
328,6.945857605,7.100719101,7.071678832
329,7.026763754,7.169133858,7.144671533
330,7.104805195,7.232125984,7.217664234
331,7.182727273,7.29511811,7.290656934
332,7.260649351,7.358110236,7.36282167
333,7.32400722,7.421102362,7.419255079
334,7.385379061,7.465688073,7.475688488
335,7.445714286,7.502385321,7.532121896
336,7.497662338,7.539082569,7.588555305
337,7.54961039,7.575779817,7.62619403
338,7.601242604,7.612477064,7.652313433
339,7.642662722,7.649174312,7.678432836
340,7.68408284,7.68587156,7.704552239
341,7.725502959,7.718230648,7.730671642
342,7.720348837,7.692954186,7.742238806
343,7.690116279,7.667677725,7.71238806
344,7.659883721,7.642401264,7.682537313
345,7.629651163,7.617124803,7.652686567
346,7.584320652,7.591848341,7.622835821
347,7.510951087,7.56657188,7.592985075
348,7.437581522,7.494637224,7.507857143
349,7.364211957,7.406309148,7.416587302
350,7.252336449,7.317981073,7.323652174
351,7.121495327,7.218337731,7.228
352,7.013913043,7.110158311,7.132347826
353,6.926956522,7.001978892,7.036695652
354,6.84,6.893799472,6.924840989
355,6.71,6.796049661,6.811766784
356,6.567142857,6.701241535,6.699417989
357,6.430816327,6.606433409,6.593597884
358,6.308367347,6.511625282,6.487777778
359,6.185918367,6.405672823,6.381957672
360,6.046393443,6.279023747,6.269203187
361,5.905797101,6.15237467,6.141713147
362,5.800724638,6.025725594,6.014223108
363,5.695652174,5.888102767,5.895547703
364,5.581956522,5.741857708,5.778939929
365,5.446086957,5.596487342,5.662332155
366,5.3204,5.479398734,5.521278539
367,5.207672727,5.362310127,5.379726027
368,5.094945455,5.245221519,5.272253968
369,4.983959184,5.136392405,5.17384127
370,4.873755102,5.028797468,5.075428571
371,4.767469388,4.921202532,4.994770318
372,4.673591837,4.835507901,4.92409894
373,4.579714286,4.758758465,4.853427562
374,4.524360902,4.682009029,4.798857143
375,4.47924812,4.605259594,4.748063492
376,4.434135338,4.544633596,4.697269841
377,4.389022556,4.525467869,4.660682927
378,4.356853526,4.506302142,4.631414634
379,4.327920434,4.487136415,4.602146341
380,4.298987342,4.467970688,4.572878049
381,4.27005425,4.448804961,4.557777778
382,4.241121157,4.429639233,4.553809524
383,4.220763791,4.410473506,4.54984127
384,4.223592645,4.391307779,4.545873016
385,4.226421499,4.386917885,4.541904762
386,4.229250354,4.403790776,4.547679325
387,4.232079208,4.420663667,4.562447257
388,4.234908062,4.437536558,4.57721519
389,4.237736917,4.454409449,4.591983122
390,4.244338395,4.47128234,4.606751055
391,4.266030369,4.488155231,4.632478386
392,4.287722343,4.505028121,4.66129683
393,4.309414317,4.521901012,4.690115274
394,4.331106291,4.548015748,4.721613833
395,4.355324675,4.582661417,4.75907781
396,4.381298701,4.617307087,4.796541787
397,4.407272727,4.651952756,4.834005764
398,4.433246753,4.686598425,4.875461741
399,4.459220779,4.721244094,4.9176781
400,4.495770065,4.75743007,4.959894459
401,4.532646421,4.801136364,5.002554745
402,4.569522777,4.844842657,5.053649635
403,4.606399132,4.888548951,5.104744526
404,4.641693735,4.932255245,5.155839416
405,4.674176334,4.975961538,5.206934307
406,4.706658933,5.020669291,5.258029197
407,4.739141531,5.06660105,5.309124088
408,4.771626898,5.112532808,5.360218978
409,4.804164859,5.158464567,5.411313869
410,4.83670282,5.204396325,5.470369393
411,4.869240781,5.250328084,5.531055409
412,4.901778742,5.296259843,5.591741425
413,4.942,5.342191601,5.653333333
414,4.992,5.40938918,5.736666667
415,5.042,5.480942408,5.82
416,5.092,5.552495637,5.903333333
417,5.139396752,5.624048866,6.003797468
418,5.183480278,5.695602094,6.117721519
419,5.227563805,5.766824147,6.216837945
420,5.271647332,5.835065617,6.315652174
421,5.318428928,5.903307087,6.416245059
422,5.383266833,5.971548556,6.519011858
423,5.448104738,6.045811518,6.621778656
424,5.512942643,6.134816754,6.73503937
425,5.577100592,6.22382199,6.849212598
426,5.636272189,6.312827225,6.968144796
427,5.695443787,6.403062827,7.094841629
428,5.754615385,6.494685864,7.218491228
429,5.811474926,6.586308901,7.327263158
430,5.867522124,6.677931937,7.436035088
431,5.923569322,6.76258427,7.541438596
432,5.978181818,6.843483146,7.639684211
433,6.03012987,6.924382022,7.737929825
434,6.082077922,7.005280899,7.84056962
435,6.136097561,7.081685393,7.948164557
436,6.195718157,7.14011236,8.055759494
437,6.255338753,7.198539326,8.153470032
438,6.31495935,7.256966292,8.229179811
439,6.361070746,7.315393258,8.30488959
440,6.397399618,7.352637795,8.378868778
441,6.433728489,7.382821522,8.442217195
442,6.470057361,7.413005249,8.505565611
443,6.506386233,7.443188976,8.533144796
444,6.534188034,7.473372703,8.558031674
445,6.546153846,7.50355643,8.582918552
446,6.558119658,7.533740157,8.60780543
447,6.57008547,7.557095926,8.605583039
448,6.582051282,7.534756899,8.577314488
449,6.594017094,7.512417871,8.549045936
450,6.593670886,7.490078844,8.508873239
451,6.581012658,7.467739816,8.463098592
452,6.56835443,7.445400788,8.417323944
453,6.555696203,7.423061761,8.343333333
454,6.543037975,7.400722733,8.263968254
455,6.530379747,7.355699208,8.184603175
